gss.code,sex,age,year,popn
E06000005,F,26,2028,516.5415933456
E06000005,F,26,2029,554.2309365565
E06000005,F,26,2030,575.661484269
E06000005,F,26,2031,564.4908379503
E06000005,F,26,2032,634.5360784622
E06000005,F,26,2033,619.3349173605
E06000005,F,26,2034,674.0892451903
E06000005,F,26,2035,619.7642730288
E06000005,F,26,2036,622.837031145
E06000005,F,26,2037,607.9072332071
E06000005,F,27,2011,695
E06000005,F,27,2012,657
E06000005,F,27,2013,682
E06000005,F,27,2014,628
E06000005,F,27,2015,651.7830725745
E06000005,F,27,2016,648.7434961213
E06000005,F,27,2017,679.2274492866
E06000005,F,27,2018,712.0830296233
E06000005,F,27,2019,708.808539907
E06000005,F,27,2020,660.511525459
E06000005,F,27,2021,636.4499263909
E06000005,F,27,2022,619.5023613531
E06000005,F,27,2023,648.5174504135
E06000005,F,27,2024,626.6432271569
E06000005,F,27,2025,648.3652383816
E06000005,F,27,2026,662.770742413
E06000005,F,27,2027,570.5411293546
E06000005,F,27,2028,570.6929541988
E06000005,F,27,2029,520.3596701307
E06000005,F,27,2030,558.0797578486
E06000005,F,27,2031,579.4872654292
E06000005,F,27,2032,568.3035430063
E06000005,F,27,2033,638.3556147441
E06000005,F,27,2034,623.1116645327
E06000005,F,27,2035,677.8753036511
E06000005,F,27,2036,623.5168808393
E06000005,F,27,2037,626.6228420922
E06000005,F,28,2011,663
E06000005,F,28,2012,675
E06000005,F,28,2013,653
E06000005,F,28,2014,653
E06000005,F,28,2015,624.9466373203
E06000005,F,28,2016,648.7463226413
E06000005,F,28,2017,645.6926524004
E06000005,F,28,2018,676.1784138997
E06000005,F,28,2019,709.0159410627
E06000005,F,28,2020,705.7220054951
E06000005,F,28,2021,657.4269416624
